Sample_No,image_no,moisture,soil_type,soc,SI,lab_b,CI,median_s,luv_u,mean_r,entropy,xyz_Z
12,244,8.89,2,1.92,1.643182374,29.39110826,0.452973602,105,20.76794874,183.8625239,14.50344334,0.190280091
12,247,8.89,2,1.92,1.606826634,28.04319848,0.445196914,110,18.97367503,166.370456,14.79803483,0.149093689
12,249,8.89,2,1.92,1.724018489,30.03417566,0.44331006,113,20.08967297,172.836376,14.77016751,0.155738363
12,250,8.89,2,1.92,1.391466164,26.58776066,0.412798219,108,17.23809393,159.2425263,14.98115121,0.140401409
13,253,7.68,3,2.5,1.906512789,29.46956007,0.438467584,105,21.06020382,185.905971,14.13172982,0.195567868
13,254,7.68,3,2.5,1.781466225,28.25867875,0.449867495,105,19.64967055,176.2930285,14.58698591,0.175415203
13,255,7.68,3,2.5,1.656158985,27.67749904,0.447783197,104,19.28972009,174.4454321,14.61755279,0.173571788
13,257,7.68,3,2.5,1.540762957,27.58565276,0.432562451,105,18.94411961,170.9491191,14.81484251,0.164473365
13,258,7.68,3,2.5,1.888838102,28.82158931,0.423552856,103,20.11387398,184.4828205,14.13790273,0.197455211
13,259,7.68,3,2.5,1.710867182,28.72853974,0.386534386,103,19.25500018,181.5543288,14.32317206,0.191306841
13,261,7.68,3,2.5,1.487496277,27.99283053,0.378776287,105,17.66920246,170.9154377,14.83195696,0.166691571
13,262,7.68,3,2.5,1.815544654,27.07327186,0.422971385,105,17.34375877,166.0764708,14.63260605,0.157403318
13,263,7.68,3,2.5,2.001766332,28.57719004,0.444642956,106,19.33545443,175.6537588,14.34662534,0.173008485
13,266,7.68,3,2.5,1.422417432,27.77589065,0.38158381,106,17.22560098,165.0561424,14.98335925,0.151817388
13,267,7.68,3,2.5,1.599862436,27.71084767,0.399968917,103,18.83788503,175.8112444,14.70270426,0.179202601
13,268,7.68,3,2.5,1.824118109,28.30802644,0.414727943,104,19.24210384,179.0794802,14.35145716,0.185373923
10,269,0.0,2,2.05,1.305660439,26.27425452,0.801526298,118,15.36246386,136.5585738,13.26880788,0.091381272
10,270,0.0,2,2.05,1.439212893,24.02376852,0.730736213,107,14.25068067,137.4880823,13.08105529,0.103151591
11,272,0.0,2,2.29,1.340630666,24.65746105,0.554796011,114,14.63347993,133.9261998,13.96560159,0.09232472
11,273,0.0,2,2.29,1.245002186,20.15765693,0.481618216,98,13.17037817,128.2927475,14.4739841,0.097352552
11,274,0.0,2,2.29,0.425176857,15.62095815,0.162052454,83,7.138125105,106.6364397,12.56725222,0.079273532
12,275,0.0,2,1.92,1.422220974,28.98235688,0.671053025,132,18.06077452,137.589784,13.98742031,0.079906165
12,276,0.0,2,1.92,1.486054078,26.63742261,0.7231383,120,17.02455256,141.4838568,13.98194029,0.09707311
12,277,0.0,2,1.92,0.763710615,20.40151437,0.434550097,100,10.56647228,120.0549665,13.02078554,0.085123332
12,290,45.85,2,1.92,0.998984775,20.06563742,0.36629247,106,13.15079339,123.6392498,14.82055006,0.087560234
12,291,45.85,2,1.92,0.680920491,14.23544989,0.302819374,87,10.40848413,111.4296277,14.66871745,0.085175634
12,292,45.85,2,1.92,0.645187538,14.87244312,0.251012611,83,8.966690002,113.7234136,14.36231674,0.091859277
13,293,57.41,3,2.5,0.692602227,14.2439879,0.245904447,81,8.76367041,110.9156768,14.62064773,0.088130927
13,294,57.41,3,2.5,0.515515996,11.24725191,0.205309351,65,6.736429211,108.6506497,14.47599111,0.097644405
13,295,57.41,3,2.5,0.481011658,11.45442964,0.143970481,65,5.228839417,103.0092674,14.13100328,0.088489023
10,298,27.86,2,2.05,0.394401084,16.60385678,0.145611837,98,8.488295482,96.83484136,13.0225553,0.056023945
10,299,27.86,2,2.05,0.41635554,17.7029215,0.177123024,103,9.689302296,100.0921755,13.02077385,0.056706705
11,300,29.46,2,2.29,0.464841999,21.16257847,0.253562085,130,14.24937623,98.6408243,12.85037371,0.040353292
11,302,29.46,2,2.29,0.430415706,17.15118324,0.205317294,98,9.799839505,102.2869699,13.01188223,0.061440055
12,305,28.31,2,1.92,0.506202861,20.04971565,0.197944646,132,12.45273605,90.81228077,12.96324341,0.034664704
12,306,28.31,2,1.92,1.482141407,25.23030979,0.62565131,117,15.9671827,133.1910874,14.06325346,0.086085988
12,307,28.31,2,1.92,0.557262246,20.3523744,0.253144919,119,11.75560437,100.9974091,13.31890651,0.048972717
13,309,25.85,3,2.5,0.390725804,18.55511087,0.133434976,129,11.18420447,83.84845344,12.5107481,0.030330254
13,310,25.85,3,2.5,1.341283693,24.37834281,0.618001595,112,14.79788257,132.4040179,13.76814578,0.08954799
13,311,25.85,3,2.5,0.779916492,22.63014741,0.398068493,117,12.96963448,114.1314373,13.33941687,0.063024031
10,312,12.44,2,2.05,1.577973709,24.63212444,0.664617226,111,16.30774564,139.5923748,13.83560585,0.100912587
10,313,12.44,2,2.05,0.516850946,19.84564046,0.29512117,117,12.22373375,101.2412109,13.16196567,0.049575926
10,314,12.44,2,2.05,1.241130013,22.78868941,0.513738713,107,13.20011687,128.1848095,13.83013699,0.089026674
10,315,12.44,2,2.05,1.645982428,25.78199223,0.585698752,112,15.43802094,140.4693479,14.13418613,0.101303456
11,316,13.59,2,2.29,1.19895339,20.2741812,0.518344669,102,13.61497212,124.4021445,13.71313309,0.087483587
11,317,13.59,2,2.29,0.378103216,17.71543962,0.180543646,120,11.28767844,88.81881776,12.93162274,0.037519037
11,318,13.59,2,2.29,1.48720463,23.73635742,0.551439547,108,15.06278958,136.5147082,14.05111093,0.099858362
11,319,13.59,2,2.29,1.748969341,27.17114181,0.630678491,116,17.46339148,145.9495177,14.16593497,0.104325025
12,320,14.31,2,1.92,1.792856578,31.8150637,0.821714105,141,22.41914039,144.0091079,14.01660319,0.076042567
