Held_Out_Series,Inner_Fold,Feature,Stage1_N,Stage2_N,Stage3_N,Stage4_N,PC1_Variance,PC2_Variance,PC12_Cumulative
3,1,luv_u,32,32,29,9,0.5284121533010229,0.2000989571870127,0.7285111104880355
3,1,median_h,32,32,29,9,0.5284121533010229,0.2000989571870127,0.7285111104880355
3,1,mean_b,32,32,29,9,0.5284121533010229,0.2000989571870127,0.7285111104880355
3,1,mean_r,32,32,29,9,0.5284121533010229,0.2000989571870127,0.7285111104880355
3,2,SI,32,32,28,9,0.5485305005422256,0.1773037857618021,0.7258342863040277
3,2,luv_v,32,32,28,9,0.5485305005422256,0.1773037857618021,0.7258342863040277
3,2,CI,32,32,28,9,0.5485305005422256,0.1773037857618021,0.7258342863040277
3,2,HI,32,32,28,9,0.5485305005422256,0.1773037857618021,0.7258342863040277
3,2,mean_v,32,32,28,9,0.5485305005422256,0.1773037857618021,0.7258342863040277
3,2,luv_u,32,32,28,9,0.5485305005422256,0.1773037857618021,0.7258342863040277
3,2,median_s,32,32,28,9,0.5485305005422256,0.1773037857618021,0.7258342863040277
3,2,entropy,32,32,28,9,0.5485305005422256,0.1773037857618021,0.7258342863040277
3,2,xyz_Z,32,32,28,9,0.5485305005422256,0.1773037857618021,0.7258342863040277
3,3,lab_b,32,32,29,9,0.5462495981716492,0.18811058625227375,0.7343601844239229
3,3,SI,32,32,29,9,0.5462495981716492,0.18811058625227375,0.7343601844239229
3,3,luv_u,32,32,29,9,0.5462495981716492,0.18811058625227375,0.7343601844239229
3,3,median_s,32,32,29,9,0.5462495981716492,0.18811058625227375,0.7343601844239229
3,3,CI,32,32,29,9,0.5462495981716492,0.18811058625227375,0.7343601844239229
3,3,median_h,32,32,29,9,0.5462495981716492,0.18811058625227375,0.7343601844239229
3,3,mean_r,32,32,29,9,0.5462495981716492,0.18811058625227375,0.7343601844239229
3,3,energy,32,32,29,9,0.5462495981716492,0.18811058625227375,0.7343601844239229
3,3,xyz_Z,32,32,29,9,0.5462495981716492,0.18811058625227375,0.7343601844239229
3,4,SI,32,32,28,9,0.5716630609925484,0.186720372417132,0.7583834334096804
3,4,median_h,32,32,28,9,0.5716630609925484,0.186720372417132,0.7583834334096804
3,4,luv_v,32,32,28,9,0.5716630609925484,0.186720372417132,0.7583834334096804
3,4,CI,32,32,28,9,0.5716630609925484,0.186720372417132,0.7583834334096804
3,4,mean_r,32,32,28,9,0.5716630609925484,0.186720372417132,0.7583834334096804
3,4,luv_u,32,32,28,9,0.5716630609925484,0.186720372417132,0.7583834334096804
3,4,median_s,32,32,28,9,0.5716630609925484,0.186720372417132,0.7583834334096804
3,4,xyz_Z,32,32,28,9,0.5716630609925484,0.186720372417132,0.7583834334096804
