Sample_No,image_no,moisture,soil_type,soc,SI,luv_v,median_h,mean_r,CI,luv_u,median_s,xyz_Z,homogeneity
1,161,3.03,1,1.38,2.163035273,35.54708496,21,158.2329998,0.606506792,17.23375777,113,0.127205524,0.032454808
2,162,2.6,1,1.48,2.380456554,38.48183132,21,167.3793248,0.563620354,18.03339909,115,0.140707952,0.029243125
2,163,2.6,1,1.48,2.309365617,36.4683441,21,163.7767658,0.588189884,17.2178968,111,0.140313657,0.034028155
2,164,2.6,1,1.48,2.294698264,41.12453002,21,177.0750359,0.486660064,19.35977026,116,0.155695018,0.02686372
4,168,1.81,1,1.32,1.998639818,35.12583723,21,164.0293766,0.516859536,15.82964131,105,0.151453432,0.02977353
4,169,1.81,1,1.32,2.141876175,37.33901687,21,170.5571987,0.489582712,16.87846855,107,0.159603815,0.029782848
4,170,1.81,1,1.32,2.055959949,34.51349839,21,158.6512077,0.602466508,15.84143735,108,0.137159804,0.034709677
5,171,4.12,1,2.2,2.050483233,34.65635703,21,162.8484136,0.558312351,16.97493012,106,0.145072396,0.032016122
5,172,4.12,1,2.2,2.107289541,36.39156046,21,165.8181401,0.548734759,18.03122698,110,0.143746086,0.031707006
5,173,4.12,1,2.2,1.858098729,36.27235644,21,165.676419,0.452311055,16.80742424,107,0.148454332,0.029544181
6,174,2.36,1,1.49,1.770565723,33.12406543,22,157.8702766,0.534905445,14.51191766,102,0.14488141,0.032399025
6,175,2.36,1,1.49,1.905954879,36.26700753,21,164.8631816,0.465729798,16.02102011,107,0.149008099,0.028619707
6,176,2.36,1,1.49,1.631361552,31.93868394,22,159.46307,0.459931259,13.88196178,96,0.156764568,0.029104924
8,180,3.23,1,1.18,2.347452293,35.96683358,21,152.0955238,0.690541194,17.1291386,119,0.109182614,0.037863028
8,181,3.23,1,1.18,2.234832385,36.65083213,21,160.6244619,0.576519457,16.98502934,113,0.13113013,0.031579318
8,182,3.23,1,1.18,2.242431599,37.19946844,21,163.3632215,0.543509556,16.81921628,112,0.137874631,0.034409467
1,186,0.82,1,1.38,1.749901671,32.3484723,21,154.6326531,0.547639996,14.51060979,102,0.137861654,0.032020168
1,187,0.82,1,1.38,1.485390179,29.49720078,21,139.3576212,0.542609339,13.51370709,104,0.10803796,0.031243325
2,188,0.74,1,1.48,1.777274017,31.34049185,21,148.5117387,0.614782499,14.1857069,103,0.12472225,0.031967149
4,191,0.74,1,1.32,2.011638798,32.98458707,20,154.9829002,0.645941621,16.08254658,107,0.130859101,0.032104409
4,192,0.74,1,1.32,1.972937679,33.81175238,21,158.5456792,0.598313201,16.34797854,107,0.137466644,0.030519488
5,193,0.91,1,2.2,1.487234777,29.33430647,21,150.9848932,0.431881498,13.06825262,93,0.143022467,0.028301304
5,194,0.91,1,2.2,1.562563683,31.29190154,21,156.3808992,0.440135395,14.13309883,96,0.148429375,0.027941399
5,195,0.91,1,2.2,1.513669187,30.44999624,21,153.2808115,0.451075687,13.60094037,95,0.143996325,0.029582428
6,196,0.67,1,1.49,1.600132817,31.22491621,21,152.7063935,0.501773181,13.74603098,98,0.138957868,0.028385058
6,197,0.67,1,1.49,1.607453035,32.73758696,21,152.7241709,0.518179571,14.72395938,105,0.130094672,0.030082279
8,202,0.76,1,1.18,1.771630441,31.97247707,22,149.5169404,0.546921335,13.83691747,103,0.126702887,0.033916512
8,203,0.76,1,1.18,1.945826684,35.13844146,21,163.0755341,0.470892757,15.68645161,105,0.148978174,0.029497063
10,206,13.26,2,2.05,1.302367847,28.47832054,20,156.0999283,0.378448074,14.32168508,93,0.157050655,0.027692258
10,207,13.26,2,2.05,1.328364812,29.71981839,20,163.1478795,0.363976615,15.06138546,93,0.17237712,0.025057913
10,208,13.26,2,2.05,1.309646333,29.45345664,20,161.3709144,0.377401568,14.78292861,93,0.168648162,0.025531555
10,209,13.26,2,2.05,1.224433258,29.2918048,20,158.6043128,0.383682394,14.71291035,94,0.160493896,0.02425569
10,210,13.26,2,2.05,1.313905103,30.1402199,20,160.8079759,0.382876595,14.88784903,95,0.163750621,0.024317139
10,211,13.26,2,2.05,1.281995185,29.55029193,20,162.0340202,0.368730007,14.71496445,93,0.17077179,0.025677932
10,212,13.26,2,2.05,1.209725185,28.07453019,20,153.4504544,0.405281493,12.95455125,91,0.155640746,0.025125002
10,213,13.26,2,2.05,1.245491921,27.25941035,20,156.0948063,0.3695144,13.6269464,89,0.164380974,0.025074206
10,216,13.26,2,2.05,1.110866177,25.53078361,19,152.842056,0.385778919,14.57145038,88,0.156344696,0.02913465
10,217,13.26,2,2.05,1.120733638,25.56804713,19,154.6618104,0.375993815,14.68684306,87,0.161562686,0.027530998
11,218,13.35,2,2.29,1.080475361,26.80503661,19,158.005102,0.340206039,13.9884261,86,0.170862168,0.029537002
11,219,13.35,2,2.29,1.053060573,25.66819705,19,156.8299984,0.336388267,13.41417617,83,0.173677628,0.029404361
11,220,13.35,2,2.29,1.157581702,27.30084193,19,158.2009925,0.353086384,14.41714728,89,0.167835935,0.026879623
11,221,13.35,2,2.29,1.155839872,27.93542703,19,160.6058873,0.374875103,14.86430455,90,0.171541312,0.027405759
11,222,13.35,2,2.29,1.113921136,27.54750163,19,159.6346261,0.357989297,14.71462893,89,0.170407115,0.026802335
11,223,13.35,2,2.29,1.094496479,26.62296091,19,152.8904456,0.32981115,13.7791307,89,0.15577101,0.032167372
11,224,13.35,2,2.29,1.030818032,25.69739784,19,149.0190529,0.344090432,13.55334055,90,0.147853183,0.033628807
11,225,13.35,2,2.29,1.129830936,28.4372197,19,159.4474649,0.34989428,14.56042416,91,0.167075246,0.027149064
11,226,13.35,2,2.29,1.077735179,27.95374495,20,157.3766342,0.334559435,13.7207524,89,0.165597344,0.027941469
11,227,13.35,2,2.29,1.114927993,28.0840351,20,157.035794,0.335638795,13.78564871,90,0.163724487,0.028529172
11,228,13.35,2,2.29,1.165061282,29.03300394,20,158.1793886,0.347927612,14.27564763,92,0.161877761,0.026736625
11,229,13.35,2,2.29,1.19595997,29.06697616,20,159.2932677,0.353705535,14.28062804,92,0.165363962,0.027928111
10,269,0.0,2,2.05,1.305660439,30.78574672,21,136.5585738,0.801526298,15.36246386,118,0.091381272,0.040932817
10,270,0.0,2,2.05,1.439212893,28.73145787,20,137.4880823,0.730736213,14.25068067,107,0.103151591,0.044961004
11,272,0.0,2,2.29,1.340630666,29.01294245,20,133.9261998,0.554796011,14.63347993,114,0.09232472,0.031948215
11,273,0.0,2,2.29,1.245002186,23.97596651,19,128.2927475,0.481618216,13.17037817,98,0.097352552,0.034000076
10,296,27.86,2,2.05,0.740541525,24.06937612,19,113.6550941,0.409878449,14.17958986,117,0.062208982,0.044194918
10,298,27.86,2,2.05,0.394401084,18.6276029,21,96.83484136,0.145611837,8.488295482,98,0.056023945,0.050440522
10,299,27.86,2,2.05,0.41635554,19.77897207,20,100.0921755,0.177123024,9.689302296,103,0.056706705,0.048976412
11,300,29.46,2,2.29,0.464841999,21.85073452,19,98.6408243,0.253562085,14.24937623,130,0.040353292,0.050487178
11,302,29.46,2,2.29,0.430415706,19.37146696,20,102.2869699,0.205317294,9.799839505,98,0.061440055,0.049130671
11,303,29.46,2,2.29,1.200093894,25.26747031,19,128.0233179,0.547249539,13.57499763,103,0.091876573,0.04136705
10,312,12.44,2,2.05,1.577973709,29.10160518,19,139.5923748,0.664617226,16.30774564,111,0.100912587,0.035369522
10,313,12.44,2,2.05,0.516850946,21.43115022,19,101.2412109,0.29512117,12.22373375,117,0.049575926,0.045026524
10,314,12.44,2,2.05,1.241130013,26.8418134,20,128.1848095,0.513738713,13.20011687,107,0.089026674,0.034559279
10,315,12.44,2,2.05,1.645982428,30.61238991,20,140.4693479,0.585698752,15.43802094,112,0.101303456,0.031919121
11,316,13.59,2,2.29,1.19895339,23.70566435,19,124.4021445,0.518344669,13.61497212,102,0.087483587,0.036747156
