Sample_No,image_no,moisture,soil_type,soc,SI,lab_b,median_h,CI,mean_r,luv_u,median_s,xyz_Z,entropy
11,274,0.0,2,2.29,0.425176857,15.62095815,22,0.162052454,106.6364397,7.138125105,83,0.079273532,12.56725222
12,275,0.0,2,1.92,1.422220974,28.98235688,20,0.671053025,137.589784,18.06077452,132,0.079906165,13.98742031
12,276,0.0,2,1.92,1.486054078,26.63742261,20,0.7231383,141.4838568,17.02455256,120,0.09707311,13.98194029
12,277,0.0,2,1.92,0.763710615,20.40151437,21,0.434550097,120.0549665,10.56647228,100,0.085123332,13.02078554
12,290,45.85,2,1.92,0.998984775,20.06563742,19,0.36629247,123.6392498,13.15079339,106,0.087560234,14.82055006
12,291,45.85,2,1.92,0.680920491,14.23544989,18,0.302819374,111.4296277,10.40848413,87,0.085175634,14.66871745
12,292,45.85,2,1.92,0.645187538,14.87244312,20,0.251012611,113.7234136,8.966690002,83,0.091859277,14.36231674
10,296,27.86,2,2.05,0.740541525,21.66841339,19,0.409878449,113.6550941,14.17958986,117,0.062208982,13.24038441
10,298,27.86,2,2.05,0.394401084,16.60385678,21,0.145611837,96.83484136,8.488295482,98,0.056023945,13.0225553
10,299,27.86,2,2.05,0.41635554,17.7029215,20,0.177123024,100.0921755,9.689302296,103,0.056706705,13.02077385
11,300,29.46,2,2.29,0.464841999,21.16257847,19,0.253562085,98.6408243,14.24937623,130,0.040353292,12.85037371
11,302,29.46,2,2.29,0.430415706,17.15118324,20,0.205317294,102.2869699,9.799839505,98,0.061440055,13.01188223
11,303,29.46,2,2.29,1.200093894,21.42607851,19,0.547249539,128.0233179,13.57499763,103,0.091876573,13.5240095
12,305,28.31,2,1.92,0.506202861,20.04971565,19,0.197944646,90.81228077,12.45273605,132,0.034664704,12.96324341
12,306,28.31,2,1.92,1.482141407,25.23030979,20,0.62565131,133.1910874,15.9671827,117,0.086085988,14.06325346
12,307,28.31,2,1.92,0.557262246,20.3523744,20,0.253144919,100.9974091,11.75560437,119,0.048972717,13.31890651
10,312,12.44,2,2.05,1.577973709,24.63212444,19,0.664617226,139.5923748,16.30774564,111,0.100912587,13.83560585
10,313,12.44,2,2.05,0.516850946,19.84564046,19,0.29512117,101.2412109,12.22373375,117,0.049575926,13.16196567
10,314,12.44,2,2.05,1.241130013,22.78868941,20,0.513738713,128.1848095,13.20011687,107,0.089026674,13.83013699
10,315,12.44,2,2.05,1.645982428,25.78199223,20,0.585698752,140.4693479,15.43802094,112,0.101303456,14.13418613
11,316,13.59,2,2.29,1.19895339,20.2741812,19,0.518344669,124.4021445,13.61497212,102,0.087483587,13.71313309
11,317,13.59,2,2.29,0.378103216,17.71543962,18,0.180543646,88.81881776,11.28767844,120,0.037519037,12.93162274
11,318,13.59,2,2.29,1.48720463,23.73635742,20,0.551439547,136.5147082,15.06278958,108,0.099858362,14.05111093
11,319,13.59,2,2.29,1.748969341,27.17114181,20,0.630678491,145.9495177,17.46339148,116,0.104325025,14.16593497
12,320,14.31,2,1.92,1.792856578,31.8150637,19,0.821714105,144.0091079,22.41914039,141,0.076042567,14.01660319
12,321,14.31,2,1.92,0.799176741,23.52193384,19,0.384105172,108.2202049,15.65056208,135,0.047266951,13.6103936
12,322,14.31,2,1.92,1.893548055,28.9784688,20,0.682998165,148.816486,19.06289674,122,0.101139517,14.27111249
12,323,14.31,2,1.92,2.053119007,32.66206099,20,0.767090143,148.4399514,21.34232884,138,0.084285451,14.29748447
10,328,5.25,2,2.05,1.871187193,25.37692238,20,0.720949626,145.5988321,15.43903499,107,0.11470225,13.64179989
10,329,5.25,2,2.05,1.023760282,21.1398544,20,0.516490943,123.5254106,12.82179117,104,0.084971143,13.27887808
10,330,5.25,2,2.05,1.87113864,26.12402497,21,0.576566225,155.4810666,15.12941751,103,0.138246228,13.93485599
10,331,5.25,2,2.05,2.041489681,28.31028156,21,0.56223969,157.1909279,16.29135434,110,0.130896305,14.06673895
11,332,4.3,2,2.29,1.63891994,25.05114377,20,0.676949747,138.1647463,15.97492074,112,0.097193212,13.85809411
11,333,4.3,2,2.29,0.584498133,20.28666848,19,0.341399922,107.7606027,12.78483982,113,0.057971284,12.88715253
11,334,4.3,2,2.29,2.020011044,26.81682487,20,0.63569419,158.0199298,16.28726037,105,0.138957977,13.88559387
11,335,4.3,2,2.29,2.209306277,28.51285293,20,0.660685943,158.1998764,17.70684105,112,0.128793174,13.92412105
12,337,7.87,2,1.92,1.355132897,25.7639301,19,0.697038839,130.0114597,16.44913481,122,0.077275941,13.65905041
12,338,7.87,2,1.92,2.255259935,30.93206566,21,0.628620645,158.6486169,19.1068175,121,0.117329347,14.22572732
12,339,7.87,2,1.92,2.431141698,33.533337,20,0.686687373,157.391761,20.82620248,132,0.101468594,14.35334475
10,344,36.1,2,2.05,0.575781207,21.03954701,19,0.307274116,98.99380182,13.76608042,129,0.041730643,13.21719558
10,345,36.1,2,2.05,0.713626482,21.20949516,19,0.392249484,107.7458745,13.87118836,120,0.05405708,13.42225946
10,347,36.1,2,2.05,1.142135061,19.90417384,20,0.450944729,130.097457,11.33112638,92,0.107100604,13.90706319
10,348,36.1,2,2.05,1.456868648,23.62428158,21,0.497832148,134.850865,13.25095327,104,0.100928886,14.13324445
