filename,Numeric numbers,mean_r,mean_g,mean_b,median_r,median_g,median_b,mean_h,mean_s,mean_v,median_h,median_s,median_v,mean_gray,median_gray,contrast,energy,homogeneity,entropy,RI,CI,HI,SI,lab_L,lab_a,lab_b,luv_L,luv_u,luv_v,xyz_X,xyz_Y,xyz_Z,image_path,image_no,soc,moisture,soil_type,Sample_No,Mahalanobis_Distance,Is_Outlier
304.jpg,304,125.7191287,97.60947465,50.60809949,125.0,97.0,49,18.7602838,162.8410993,125.7191287,19,155,125.0,0.392917557,0.389014902,1484.037856,0.009647976,0.034827961,13.81728112,1.829211022,0.687013933,2.218423941,1.137971625,43.23144514,5.462911586,30.76455478,43.23144514,21.7471586,32.11497466,0.13483592,0.133132172,0.049454924,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/304.jpg,304,1.92,28.31,2,12,9.913636595513038,True
336.jpg,336,149.3118822,121.7253069,66.7553412,151.0,123.0,68,20.00464365,150.0306122,149.3118822,20,141,151.0,0.484800469,0.491266667,1730.492893,0.008626913,0.032158503,14.0668867,1.494994584,0.847139034,2.012913831,2.290898083,52.59101509,3.634694174,33.8451761,52.59101509,21.74112795,38.08950464,0.203838379,0.206741528,0.081871354,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/336.jpg,336,1.92,7.87,2,12,7.3564613574202,True
346.jpg,346,62.51881378,52.39409279,34.31200175,62.0,52.0,34,19.33559869,123.0762117,62.51893335,19,116,62.0,0.208791675,0.206614902,397.4558977,0.018499161,0.064080669,12.00406172,1.875226936,0.101734476,2.137887555,0.331955669,22.4780216,1.410933182,13.10350809,22.4780216,6.70508461,12.040203,0.035582752,0.036497594,0.020536813,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/346.jpg,346,2.05,36.1,2,10,12.542958813075034,True
350.jpg,350,58.30452806,49.77670599,34.3018176,58.0,49.0,34,19.38819356,111.0380062,58.30452806,19,106,58.0,0.197933838,0.195147843,283.6479821,0.022173424,0.078133028,11.51371677,1.56693634,0.08567408,2.138642039,0.287439492,21.16307899,1.044709136,11.28077253,21.16307899,5.502452904,10.2856429,0.031869052,0.032882218,0.020026797,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/350.jpg,350,2.29,32.6,2,11,15.60555721610327,True
354.jpg,354,82.81656569,65.892897,38.50920759,82.0,65.0,37,18.49758849,146.7102001,82.8167052,19,139,82.0,0.264763971,0.261687451,768.4007047,0.013802297,0.04867534,12.86040833,1.733509688,0.170553,2.269833711,0.472634639,29.05179569,3.239985178,19.36021986,29.05179569,12.0966891,18.68300831,0.058513982,0.058581751,0.026990903,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/354.jpg,354,1.92,33.39,2,12,9.355171739826204,True
362.jpg,362,145.0683195,120.8381896,89.11136798,144.0,118.0,85,16.43084343,122.0946668,145.0683195,17,103,144.0,0.485096425,0.476781569,4329.834801,0.006010635,0.026801982,15.05095639,1.442951857,0.418571344,2.902180565,1.022784376,52.27027156,4.680046319,20.92672521,52.27027156,17.63277727,25.09789556,0.203150247,0.203854791,0.123377383,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/362.jpg,362,2.07,17.5,1,14,7.62197036006416,True
363.jpg,363,148.3097696,122.9997011,87.99324378,150.0,123.0,85,16.87675383,127.6451291,148.3097696,17,108,150.0,0.493545588,0.492687059,3856.79136,0.006130982,0.029240695,15.00163718,1.465607162,0.419069664,2.786695631,1.112379641,53.16351059,4.695761531,22.80838379,53.16351059,18.63471942,27.26685886,0.211133779,0.211961566,0.122075592,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/363.jpg,363,2.07,17.5,1,14,7.688048134302513,True
364.jpg,364,143.6701212,120.2432039,83.12276786,142.0,117.0,77,17.78463807,129.9842754,143.6701212,18,112,142.0,0.480568786,0.467584706,4393.631206,0.006045489,0.026872622,15.03442638,1.52885008,0.401257153,2.514554737,1.124135012,51.85815016,3.690369353,23.76558324,51.85815016,17.49444573,28.22950311,0.197563234,0.200185253,0.110294612,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/364.jpg,364,2.07,17.5,1,14,7.694117026914654,True
438.jpg,438,142.7277943,115.8726946,73.87111142,141.0,114.0,72,18.24116415,139.9431622,142.7277943,18,126,141.0,0.464906232,0.459350196,506.3389305,0.008598689,0.067341024,14.00487572,1.344452129,0.610945307,2.309888049,1.458247138,50.4176559,4.749607319,27.10320991,50.4176559,20.34467179,31.05649868,0.187436147,0.187705355,0.090897785,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/438.jpg,438,2.07,0.0,1,14,11.907161204077136,True
439.jpg,439,148.3164336,123.2754236,80.47525911,153.0,128.0,83,18.73950936,137.8598739,148.3164336,19,117,153.0,0.492199005,0.509765098,1624.594674,0.006410105,0.044047633,14.88772223,1.535736528,0.494962041,2.327751139,1.479642906,53.11011608,3.677824576,26.96836394,53.11011608,19.03685325,31.74927701,0.208533884,0.211471039,0.106629963,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/439.jpg,439,2.07,0.0,1,14,8.138991403235194,True
